Name, D, I, A, Ce, Ca, Nc, Na, DAG
Daring Dog, 0.79, 0.18, 0.03, 10, 45, 984, 30, 0
Curious Cat, 0.14, 0.86, 0.00, 12, 2, 12, 0, 0
Loyal Lion, 0.15, 0.85, 0.00, 11, 2, 7, 0, 0
Tenacious Tiger, 0.18, 0.60, 0.22, 6, 4, 7, 2, 0
Enormous Elephant, 0.00, 1.00, 0.00, 1, 0, 3, 0, 1
Graceful Giraffe, 0.13, 1.00, 0.13, 13, 0, 7, 1, 1
Hardy Horse, 0.07, 0.93, 0.00, 14, 1, 1, 0, 0
Calm Cow, 0.28, 0.46, 0.27, 41, 49, 136, 50, 0
Gentle Goat, 0.15, 0.84, 0.01, 21, 4, 122, 1, 0
Shaggy Sheep, 0.28, 0.67, 0.05, 18, 9, 39, 2, 0
Plump Pig, 0.31, 0.69, 0.00, 18, 8, 50, 0, 0
Clucking Chicken, 0.37, 0.58, 0.05, 22, 16, 261, 14, 0
Dapper Duck, 0.07, 0.93, 0.00, 13, 1, 10, 0, 0
Gracious Goose, 0.41, 0.50, 0.09, 37, 37, 172, 17, 0
Rapid Rabbit, 0.19, 0.81, 0.00, 17, 4, 23, 0, 0
Mischevious Mouse, 0.23, 0.77, 0.00, 17, 5, 22, 0, 0
Rowdy Rat, 0.41, 0.55, 0.04, 36, 29, 423, 17, 0
Capable Capybara, 0.00, 1.00, 0.00, 8, 0, 0, 0, 1
Tough Turtle, 0.29, 0.67, 0.04, 26, 13, 173, 7, 0
Tenacious Tortoise, 0.21, 0.79, 0.00, 22, 6, 14, 0, 0
Cunning Crocodile, 0.11, 0.89, 0.00, 16, 2, 15, 0, 0
Aggressive Alligator, 0.12, 0.88, 0.00, 15, 2, 15, 0, 0
Slithering Snake, 0.38, 0.61, 0.01, 22, 14, 100, 1, 0
Friendly Frog, 0.14, 0.86, 0.00, 18, 3, 16, 0, 0
Tiny Toad, 0.40, 0.58, 0.02, 19, 14, 98, 2, 0
Perceptive Parrot, 0.25, 0.75, 0.00, 18, 6, 27, 0, 0
